#{"t_start": 1747307122.818335, "env_id": "None"}
r,l,t
162605.318647,52,55.523648
166404.285047,52,55.532245
166811.115041,52,55.540883
165168.736595,52,55.767494
163662.009627,52,55.776837
164994.013577,52,55.786569
164096.730268,52,55.795914
163474.726123,52,55.805458
164361.22153,52,55.814914
165613.81155,52,55.824375
165728.776836,52,55.834023
164531.791072,52,55.84371
160874.684069,52,55.853055
164428.220092,52,55.862337
163097.169829,52,55.871659
164154.332399,52,55.880814
164079.212569,52,55.890108
166144.288912,52,55.899267
164808.395132,52,55.90839
167642.190796,52,55.917507
166122.941091,52,55.926574
164118.25549,52,55.935759
166237.829115,52,55.94484
164431.070661,52,55.953899
164809.553805,52,55.962926
164354.319327,52,55.971702
164452.340854,52,55.980481
166626.998691,52,55.989276
163949.799858,52,55.998055
165607.264253,52,56.006848
164228.745597,52,56.01557
163414.768657,52,56.024367
164127.142412,52,56.033175
165367.65081,52,56.041972
166206.593966,52,56.050789
164956.466618,52,56.059564
165262.746152,52,56.068335
164844.095109,52,56.077075
165575.927974,52,56.085815
163742.902213,52,56.094566
165207.114266,52,56.103856
165102.253091,52,56.112639
164408.028076,52,56.334478
163720.14341,52,56.344021
165971.872008,52,56.353503
165377.135534,52,56.362715
165508.28567,52,56.372246
165985.060018,52,56.38181
163784.866451,52,56.391264
165889.256401,52,56.400574
157476.522112,52,56.409927
167279.70196,52,56.419511
166045.795112,52,56.428804
164605.893004,52,56.438113
164755.94773,52,56.447288
166307.218136,52,56.456357
165670.723678,52,56.465407
163947.983086,52,56.474448
165098.624648,52,56.483492
167109.491259,52,56.492524
165343.068001,52,56.501554
166234.437481,52,56.5106
164230.280066,52,56.519604
164917.265352,52,56.528642
163729.582878,52,56.537478
164713.290953,52,56.54616
166966.654449,52,56.554832
165859.935857,52,56.563543
165903.156527,52,56.572268
166091.556374,52,56.580941
161662.613866,52,56.589642
164383.347495,52,56.598362
165857.170341,52,56.607072
165433.603441,52,56.615894
165942.698717,52,56.624604
166087.885387,52,56.633294
165344.956355,52,56.641996
164223.390982,52,56.650722
165227.453708,52,56.659474
166257.855249,52,56.668211
165226.556856,52,56.676934
165154.391092,52,56.685634
165968.320086,52,56.905978
165193.235708,52,56.915205
165702.603196,52,56.92499
167284.376847,52,56.934399
164637.156483,52,56.944034
164238.233954,52,56.953484
164638.84101,52,56.963002
164638.500156,52,56.972465
165052.501588,52,56.981753
165277.466872,52,56.991269
166289.369074,52,57.000546
166388.964807,52,57.00991
166607.542557,52,57.019089
165756.380176,52,57.028269
164697.050763,52,57.0374
164737.806823,52,57.046482
160754.420634,52,57.055545
167387.392637,52,57.064627
164659.639113,52,57.073704
166453.939097,52,57.08277
164800.116459,52,57.091859
159730.018582,52,57.100827
164858.870793,52,57.109575
