#{"t_start": 1745835308.462683, "env_id": "None"}
r,l,t
142823.408089,52,12.714578
143203.787047,52,12.729957
142413.189113,52,12.744671
142764.600159,52,12.759933
142393.645726,52,12.774532
142800.010271,52,12.789148
141579.135583,52,12.804404
142298.398638,52,12.818987
142134.851225,52,12.835246
142207.416719,52,12.849947
142168.424662,52,12.864646
142468.324555,52,12.879865
142485.778191,52,12.895328
142764.580208,52,12.912477
143047.488598,52,12.929998
142951.479507,52,12.948485
142570.944197,52,12.967346
142766.015223,52,12.986087
142414.00965,52,13.004025
143347.783455,52,13.021003
142322.312115,52,13.043735
142658.894883,52,13.062589
142395.695812,52,13.079788
143001.697184,52,13.097782
142821.82936,52,13.114931
142190.14344,52,13.13262
142314.54264,52,13.150758
142860.158297,52,13.168313
141658.070766,52,13.1867
142165.640334,52,13.205037
141970.681784,52,13.223563
142635.662763,52,13.24254
142635.15043,52,13.259835
143049.029371,52,13.278797
142504.626836,52,13.296217
143140.471141,52,13.312971
142762.269694,52,13.3297
142794.2496,52,13.346018
142244.771542,52,13.36265
142174.453452,52,13.379246
142616.985897,52,13.396017
142738.435779,52,13.413858
142005.444111,52,13.430645
142456.808359,52,13.447349
142710.584324,52,13.463468
142797.755011,52,13.478882
143255.562311,52,13.495608
142655.542893,52,13.511056
142680.478462,52,13.526707
142252.306204,52,13.541762
142153.614317,52,13.556662
142652.89081,52,13.573037
141887.876997,52,13.588448
142057.318969,52,13.604739
142947.124625,52,13.620188
142020.903931,52,13.63599
143024.614079,52,13.653026
142119.958743,52,13.667829
142537.190979,52,13.683148
142151.539944,52,13.69786
142897.010544,52,13.712528
142749.54457,52,13.728012
142497.282559,52,13.742766
143059.32215,52,13.758736
142183.669681,52,13.774083
142281.726299,52,13.789302
142663.968525,52,13.806333
142389.608437,52,13.82171
142165.706027,52,13.837755
142470.754546,52,13.853574
142375.865692,52,13.869881
142736.761943,52,13.887254
142764.914238,52,13.903474
142275.101161,52,13.919773
142648.571915,52,13.935674
142294.306252,52,13.954238
142295.933223,52,13.971216
142131.589176,52,13.986397
142250.131693,52,14.002654
142847.316535,52,14.017775
142794.114052,52,14.032602
141677.668309,52,14.047846
142941.418308,52,14.062444
142167.377661,52,14.077649
142639.009765,52,14.092253
142396.093022,52,14.108269
143230.022895,52,14.123705
142627.82517,52,14.138982
142411.300172,52,14.155183
142623.98061,52,14.171205
142375.871207,52,14.187578
142477.028008,52,14.204756
141378.247059,52,14.222139
142563.939593,52,14.240269
142232.302981,52,14.259202
142677.22608,52,14.275529
142483.862007,52,14.291526
142951.452327,52,14.306785
142637.636488,52,14.322861
142290.340471,52,14.338027
142400.491817,52,14.3529
142883.828706,52,14.368463
143006.274052,52,14.38355
142165.23347,52,14.399434
142741.295476,52,14.415393
142280.912016,52,14.430404
142918.590271,52,14.446137
141885.832892,52,14.461271
142116.20476,52,14.477104
141346.509563,52,14.511176
142521.438194,52,14.531559
142601.152106,52,14.550073
142129.327551,52,14.567458
143189.181738,52,14.584863
142922.661665,52,14.600533
142533.031649,52,14.615452
142158.673046,52,14.630858
142632.837062,52,14.645892
143310.159038,52,14.661934
141319.220656,52,14.677844
142392.028717,52,14.693106
142214.330479,52,14.709164
141970.360376,52,14.724208
142218.502468,52,14.740852
142284.593174,52,14.756453
142194.929487,52,14.771659
142512.887949,52,14.787805
141537.66701,52,14.804618
142720.021476,52,14.823636
142272.99441,52,14.841087
142661.976043,52,14.85868
142797.819135,52,14.877253
142717.138822,52,14.894713
142649.939899,52,14.912917
141942.54881,52,14.92943
143414.43425,52,14.946012
142022.09398,52,14.962993
142169.415203,52,14.97838
142773.430972,52,14.994246
143135.401204,52,15.009723
142520.911111,52,15.024487
142631.901451,52,15.03982
142397.302939,52,15.055593
142811.820612,52,15.071002
143004.026246,52,15.085672
141568.914108,52,15.100324
142358.546477,52,15.116858
142451.10378,52,15.134243
142176.814378,52,15.154334
142474.088071,52,15.170548
142943.118534,52,15.186139
143025.129987,52,15.202395
143166.718135,52,15.218967
142349.034412,52,15.234642
142747.624588,52,15.249328
141995.891436,52,15.264265
142505.820351,52,15.279712
142243.726348,52,15.294415
142432.94846,52,15.309852
142530.091908,52,15.324587
142128.982048,52,15.339963
142467.627653,52,15.355152
