#{"t_start": 1745776270.3942888, "env_id": "None"}
r,l,t
169765.256587,52,93.05564
171769.568541,52,93.067683
171554.698682,52,93.079724
172035.593187,52,93.091767
142438.170928,52,93.104406
144278.748544,52,93.1162
176367.858146,52,93.127793
165463.485682,52,93.139752
176119.385084,52,93.152164
173628.3827,52,93.164065
165015.743713,52,93.175993
171350.030596,52,93.18816
171544.51241,52,93.200934
163293.675976,52,93.213314
154578.824462,52,93.225867
162117.413305,52,93.238177
164575.819604,52,93.251318
167202.40797,52,93.2641
156540.949966,52,93.276749
168190.137559,52,93.289326
155456.150032,52,93.302696
166131.58274,52,93.315127
169542.883997,52,93.327416
169114.252659,52,93.339639
172896.895059,52,93.352061
149483.277323,52,93.363876
177183.027666,52,93.375707
176033.609117,52,93.387677
177275.189609,52,93.400199
178762.746705,52,93.412272
170566.212745,52,93.424333
179756.180233,52,93.436676
178023.854151,52,93.449231
172497.926452,52,93.461862
179788.504412,52,93.475232
178731.538806,52,93.488078
173324.747054,52,93.501557
165570.934814,52,93.514688
174745.377217,52,93.527237
179965.330399,52,93.539771
171069.578594,52,93.552991
169621.719058,52,93.565302
181674.728875,52,93.577553
179955.023508,52,93.59004
174797.198514,52,93.60248
183394.285642,52,93.614273
179927.475903,52,93.626229
174228.655999,52,93.637886
178482.728423,52,93.65043
184003.745105,52,93.662261
176265.51085,52,93.674061
174248.662296,52,93.685917
177401.997229,52,93.698675
163707.102509,52,93.710919
174524.331657,52,93.723456
172960.099333,52,93.735562
171758.687045,52,93.748274
178835.405348,52,93.760666
178451.900395,52,93.772726
168981.221421,52,93.78488
180053.928917,52,93.797715
164042.515036,52,93.80953
176605.947035,52,93.821391
182983.917938,52,93.833096
164233.919606,52,93.845409
178032.908877,52,93.857281
172312.140289,52,93.86904
178204.387881,52,93.882697
170049.91757,52,93.894892
171699.985442,52,93.906862
167797.720981,52,93.919245
174241.021559,52,93.931458
175931.142977,52,93.944195
172083.240296,52,93.956257
176882.958035,52,93.968531
175475.97697,52,93.981012
150584.642883,52,93.993885
176992.309231,52,94.006609
180434.631127,52,94.018546
180078.678539,52,94.030587
175909.549346,52,94.043073
171762.418657,52,94.055115
178572.326801,52,94.066841
174725.293831,52,94.078605
160622.439173,52,94.09109
171683.553031,52,94.102866
170788.303905,52,94.114581
168238.335202,52,94.126381
171976.801276,52,94.139242
169629.850745,52,94.151657
168840.332986,52,94.16449
171978.783817,52,94.177122
170503.223743,52,94.190398
168383.591551,52,94.202908
170792.48693,52,94.215709
