#{"t_start": 1744923385.571989, "env_id": "None"}
r,l,t
7711.148,100,18.833589
14675.1605,100,18.855813
8475.118,100,18.878595
8568.537,100,18.90079
12710.2925,100,18.922836
11563.622,100,18.94554
17075.62,100,18.968801
8687.0345,100,18.99199
6637.346,100,19.015398
7856.3435,100,19.038792
10612.4005,100,19.062596
3899.4285,100,19.085382
6959.712,100,19.107662
5992.3445,100,19.129851
20006.757,100,19.152997
14630.6385,100,19.175176
12357.257,100,19.197695
11482.1585,100,19.219841
7807.4525,100,19.242848
5682.5125,100,19.265625
14971.537,100,19.288771
5259.8315,100,19.312282
5382.6095,100,19.335919
6432.5715,100,19.358871
5392.3865,100,19.3812
8375.557,100,19.403506
18071.294,100,19.426901
6193.516,100,19.44919
3514.913,100,19.471186
7020.4755,100,19.493328
3268.103,100,19.516423
10746.793,100,19.539503
10415.7835,100,19.562485
8509.6115,100,19.585528
5961.4345,100,19.60935
17335.182,100,19.632514
9653.5135,100,19.655249
8504.443,100,19.677461
6971.2195,100,19.700613
13069.8425,100,19.722931
6514.258,100,19.745312
1315.1185,100,19.767396
11923.125,100,19.790302
10896.073,100,19.812834
5997.4215,100,19.83552
10052.664,100,19.858692
8561.869,100,19.883367
8932.1935,100,19.906706
-3271.518,100,19.929475
5270.164,100,19.952079
1209.0445,100,19.974913
7661.6685,100,19.997345
1733.0765,100,20.019922
11032.0865,100,20.042285
14677.7875,100,20.065301
10822.978,100,20.088429
-2731.2205,100,20.111772
1363.7465,100,20.135182
10571.166,100,20.159096
8995.0015,100,20.182139
2184.3415,100,20.204398
12589.928,100,20.226473
4919.385,100,20.249797
2888.4405,100,20.272248
7983.7085,100,20.294544
7132.6495,100,20.316914
12136.2465,100,20.340057
16599.371,100,20.36292
4750.622,100,20.386043
15409.173,100,20.409312
13426.883,100,20.433476
10810.718,100,20.456388
13533.8255,100,20.478875
3835.049,100,20.500908
7859.5135,100,20.524177
3930.6185,100,20.546606
12346.2445,100,20.568878
6546.527,100,20.59098
7759.9755,100,20.61409
10620.707,100,20.637274
16799.7375,100,20.660189
14628.3955,100,20.683683
4728.699,100,20.707878
11478.3335,100,20.730916
13851.729,100,20.75322
22733.6775,100,20.775518
7001.592,100,20.798966
11144.8125,100,20.821363
7882.3005,100,20.843606
3825.7225,100,20.865853
4351.17,100,20.88908
10159.9705,100,20.912166
10593.743,100,20.935485
14118.8645,100,20.958966
12800.4005,100,20.983365
-2771.297,100,21.00653
3322.3785,100,21.029386
15789.755,100,21.051677
6654.469,100,21.074732
15662.941,100,21.097008
15826.3025,100,21.119091
9786.85,100,21.141074
6164.768,100,21.164213
15043.752,100,21.187368
13882.0975,100,21.21047
8817.9515,100,21.233672
10186.212,100,21.257839
14592.9505,100,21.280672
17876.615,100,21.302949
6613.0555,100,21.325294
11867.5695,100,21.348388
3183.0785,100,21.370634
8185.131,100,21.392809
12519.569,100,21.415071
11298.098,100,21.438213
4607.1785,100,21.460995
12335.429,100,21.484319
7887.232,100,21.507303
3155.926,100,21.531109
6382.9325,100,21.554203
3677.9625,100,21.576571
4211.905,100,21.599047
2336.552,100,21.622119
3890.316,100,21.644301
9817.5965,100,21.666574
8516.5785,100,21.688494
4087.533,100,21.711635
13040.937,100,21.734442
5904.319,100,21.757573
8377.0665,100,21.780468
14194.8135,100,21.804362
11535.9165,100,21.827468
11595.686,100,21.850114
9467.4585,100,21.87251
4560.0585,100,21.895749
8952.6105,100,21.91799
8843.9255,100,21.940559
12908.698,100,21.962672
10982.091,100,21.985979
11238.3405,100,22.009396
3769.32,100,22.032337
8638.5575,100,22.0553
13292.7915,100,22.079426
5812.823,100,22.102274
11400.9565,100,22.124598
14441.2655,100,22.146849
11938.348,100,22.170279
14709.51,100,22.192602
9364.83,100,22.214866
4982.7405,100,22.236984
8373.297,100,22.259809
12462.016,100,22.282343
12335.17,100,22.30568
7517.487,100,22.328606
14459.4905,100,22.352466
12685.7105,100,22.375445
7796.7695,100,22.397981
6425.9945,100,22.420236
7932.6485,100,22.443411
9635.736,100,22.465578
8492.394,100,22.487793
16946.4265,100,22.510507
14249.1325,100,22.533667
19886.2585,100,22.556447
13632.232,100,22.579235
16344.3005,100,22.602445
18740.3195,100,22.626897
14854.5425,100,22.649896
8485.583,100,22.672455
15896.8185,100,22.694786
11388.473,100,22.718047
3922.192,100,22.740188
3842.5295,100,22.762508
5012.125,100,22.784673
4366.0325,100,22.80763
9072.5135,100,22.830185
9077.0835,100,22.853792
6732.7845,100,22.876729
2204.607,100,22.900895
14922.825,100,22.923535
3166.2855,100,22.945922
10205.3355,100,22.968195
15879.959,100,22.991157
16105.463,100,23.013925
14703.2705,100,23.036124
11333.3485,100,23.05834
13044.994,100,23.081602
3311.1665,100,23.104694
12113.282,100,23.129599
2031.007,100,23.153026
11914.8355,100,23.176586
13686.0065,100,23.201368
5037.2505,100,23.223744
6773.5495,100,23.246002
4305.754,100,23.269138
11304.6775,100,23.291596
7504.7415,100,23.31412
4274.7695,100,23.336378
9839.921,100,23.359244
10876.7375,100,23.382011
14099.9215,100,23.405036
12459.3705,100,23.428193
8237.035,100,23.452424
11060.412,100,23.475363
14232.094,100,23.497961
12037.2695,100,23.520596
12627.4305,100,23.543911
10731.8945,100,23.566215
9162.746,100,23.588331
19247.1045,100,23.610409
18647.2365,100,23.633333
12126.569,100,23.656174
12342.485,100,23.67939
21163.7605,100,23.704165
15561.5115,100,23.728415
7146.4065,100,23.751289
8590.444,100,23.773796
20214.7535,100,23.796013
21623.5395,100,23.819122
17424.4465,100,23.841388
14373.987,100,23.863524
10015.654,100,23.885642
6434.774,100,23.908493
13668.0615,100,23.931385
15694.924,100,23.954831
11413.5395,100,23.977742
18890.331,100,24.001962
10471.862,100,24.0254
15189.533,100,24.049764
19296.905,100,24.072846
13650.1925,100,24.098624
15675.2955,100,24.122031
15889.301,100,24.1458
12826.5995,100,24.168779
15554.9975,100,24.192704
9166.714,100,24.216499
11193.8155,100,24.243792
12584.667,100,24.267606
11211.9015,100,24.292204
6287.651,100,24.31538
