#{"t_start": 1745774387.514453, "env_id": "None"}
r,l,t
189492.509264,50,235.371877
184774.855254,50,235.382909
181028.648188,50,235.39461
160493.623738,50,235.405798
172539.695075,50,235.418478
180657.019106,50,235.429843
184948.468249,50,235.44307
190386.890244,50,235.456691
184706.821335,50,235.471428
183691.908285,50,235.484056
179345.689121,50,235.496292
183358.58116,50,235.508084
182461.836079,50,235.520578
178005.237666,50,235.532224
159226.665453,50,235.543666
180308.299297,50,235.554758
183270.423495,50,235.567138
183385.981772,50,235.57871
186851.923754,50,235.591705
185485.026384,50,235.60404
184758.876619,50,235.617392
178921.9616,50,235.629439
166184.229336,50,235.641882
186053.244064,50,235.653883
187532.239806,50,235.666802
187316.909745,50,235.679759
181179.146139,50,235.693465
172457.519865,50,235.706771
178648.264502,50,235.720725
171187.407267,50,235.733349
185062.64106,50,235.746834
176586.438823,50,235.75922
180354.108843,50,235.77227
179454.196224,50,235.784122
171163.578659,50,235.796255
176689.949952,50,235.807872
186970.372912,50,235.820794
185546.053062,50,235.832456
190587.659491,50,235.844563
190295.370565,50,235.856265
187303.75893,50,235.868864
185060.343103,50,235.88062
183336.005974,50,235.893034
175292.944791,50,235.904239
191031.40416,50,235.916613
187130.338635,50,235.928604
181692.060951,50,235.940941
182667.086539,50,235.952806
186822.78844,50,235.965544
180820.99031,50,235.977151
183395.229356,50,235.989259
183395.201698,50,236.000904
184504.240358,50,236.013251
137973.812303,50,236.024862
186969.246277,50,236.036498
182365.524896,50,236.047619
186310.34127,50,236.060122
171997.613016,50,236.071227
168003.566171,50,236.082759
174656.56257,50,236.093972
166914.877292,50,236.106058
167303.371633,50,236.117359
154697.23175,50,236.12887
160974.915738,50,236.139899
156404.779277,50,236.151854
171190.268399,50,236.163722
159165.959513,50,236.176089
170005.66957,50,236.18889
159737.420374,50,236.202563
175767.66604,50,236.215212
176805.588076,50,236.227803
156192.079242,50,236.240099
157800.152536,50,236.252985
165627.8934,50,236.264608
167315.827755,50,236.276471
164248.988778,50,236.288004
161584.664465,50,236.300783
168296.746757,50,236.312391
173190.481922,50,236.324296
171459.668456,50,236.335621
176498.561133,50,236.347716
172214.212068,50,236.358998
167913.260873,50,236.370663
168692.344789,50,236.381799
147272.123432,50,236.393764
164272.477826,50,236.40606
160549.213875,50,236.419191
167392.587922,50,236.43174
164605.005679,50,236.445421
165145.684782,50,236.458254
166707.187995,50,236.471624
162937.811966,50,236.484632
168256.003973,50,236.498358
161626.727747,50,236.510848
156082.511609,50,236.523128
163135.064186,50,236.535121
157769.139939,50,236.548291
163630.023989,50,236.559795
164091.888691,50,236.571634
177892.946178,50,236.583741
170885.956511,50,236.596697
171762.88339,50,236.608282
178430.162605,50,236.619943
175317.388981,50,236.631135
178398.317946,50,236.643586
178906.18066,50,236.655459
178147.226019,50,236.667588
165789.531306,50,236.679336
175664.758119,50,236.691912
180369.581298,50,236.703505
189581.744221,50,236.715392
180708.197094,50,236.727216
178312.603975,50,236.739584
172823.609243,50,236.751125
176905.703723,50,236.762837
175761.728389,50,236.773852
178787.061992,50,236.786308
174175.596043,50,236.797494
174874.024448,50,236.809071
174667.750408,50,236.820107
176133.639129,50,236.832061
178259.14117,50,236.843128
176813.849732,50,236.854474
171206.49466,50,236.86556
159689.916841,50,236.87761
162161.651646,50,236.888797
170171.418321,50,236.900714
168084.477157,50,236.912141
178779.97398,50,236.924618
166306.097111,50,236.93623
166973.086041,50,236.948318
164061.162998,50,236.960028
174442.613343,50,236.972855
175535.641371,50,236.989189
173911.698554,50,237.001023
171336.832836,50,237.012325
176394.464482,50,237.024974
179915.30776,50,237.036024
180977.641841,50,237.047429
183525.50787,50,237.058523
175864.19873,50,237.070814
178844.151231,50,237.08183
172420.434542,50,237.093225
177670.232347,50,237.104119
180178.803328,50,237.116171
175931.053435,50,237.1276
184899.067176,50,237.140101
164808.258265,50,237.160118
183135.733756,50,237.174269
162779.076821,50,237.186451
175349.543837,50,237.199413
185911.389678,50,237.212038
177299.142947,50,237.225871
177095.658908,50,237.238888
178754.389167,50,237.250672
184880.808515,50,237.26196
184435.334434,50,237.274384
179323.060635,50,237.285624
154758.386406,50,237.297217
154289.367174,50,237.309861
148775.225024,50,237.322083
158635.690897,50,237.333123
156197.744316,50,237.344647
174001.34765,50,237.355767
180030.578944,50,237.368007
176969.180373,50,237.379713
178814.259546,50,237.391908
182856.592703,50,237.403535
175882.287725,50,237.416052
180924.905283,50,237.427645
174819.076505,50,237.439567
172494.258727,50,237.451537
172761.861878,50,237.464002
182815.825908,50,237.475661
180574.567039,50,237.487387
175575.536202,50,237.498585
165436.099456,50,237.51083
178994.958743,50,237.52198
180935.739786,50,237.533703
168916.338234,50,237.544682
181187.807666,50,237.556608
175665.991773,50,237.56766
182721.848096,50,237.579295
176229.557306,50,237.590383
175781.049556,50,237.602501
179180.749918,50,237.613753
176451.258352,50,237.625647
171395.852072,50,237.637
166631.677113,50,237.649583
177579.019815,50,237.661096
176031.497146,50,237.673016
176028.895911,50,237.68448
176424.382975,50,237.696772
182542.832434,50,237.708522
183448.073051,50,237.720425
177280.415852,50,237.731706
181556.135242,50,237.744008
188198.093839,50,237.755555
175853.886001,50,237.76697
184849.191434,50,237.778045
179626.747987,50,237.789914
181914.648556,50,237.800862
185077.25723,50,237.812273
177395.967034,50,237.823448
184231.270016,50,237.835497
175597.084299,50,237.846612
154397.311286,50,237.858462
180935.735929,50,237.870137
179966.808637,50,237.882814
182929.877677,50,237.894184
177140.872523,50,237.906323
181603.498753,50,237.917869
181895.613661,50,237.930249
183496.127415,50,237.941618
180846.422233,50,237.953751
183693.062343,50,237.964884
184952.999599,50,237.977366
178201.25154,50,237.988541
187013.576531,50,238.000076
175109.914813,50,238.011175
183673.526794,50,238.023015
174736.812405,50,238.034205
182924.590257,50,238.045627
181079.158272,50,238.05671
172868.066734,50,238.068701
180670.444411,50,238.079906
175069.467623,50,238.091833
186804.559927,50,238.103567
182750.380053,50,238.115894
181705.334169,50,238.127453
184497.119099,50,238.13946
181523.637443,50,238.151101
176897.689757,50,238.163535
176746.790462,50,238.175152
184552.714758,50,238.187267
181466.061488,50,238.198483
182938.440957,50,238.210821
181195.042008,50,238.222
176725.469304,50,238.233488
180946.132929,50,238.244494
185032.7307,50,238.256528
178898.117681,50,238.267531
178312.782037,50,238.282204
175041.756209,50,238.293457
178716.598941,50,238.305671
175516.025738,50,238.316989
183668.092013,50,238.329063
177947.786716,50,238.340662
176273.234215,50,238.353009
173506.46408,50,238.364509
176186.360697,50,238.376513
174000.029458,50,238.388098
181557.130191,50,238.400555
180778.725592,50,238.411899
176555.317778,50,238.424148
184092.028056,50,238.435507
178383.120135,50,238.448007
178497.517779,50,238.459104
183349.028163,50,238.47067
176198.958382,50,238.48171
182363.848929,50,238.493697
179566.850537,50,238.504784
176099.893423,50,238.516118
172581.652908,50,238.527148
179484.287662,50,238.539138
175885.895747,50,238.550282
177072.375356,50,238.561987
171604.833642,50,238.573456
180087.077687,50,238.585692
179233.67977,50,238.597244
177087.69149,50,238.609655
179625.205713,50,238.621564
174690.588532,50,238.633974
181807.952501,50,238.645365
174613.782202,50,238.657372
170891.371379,50,238.668665
178325.063981,50,238.681044
176753.617539,50,238.692019
180846.817795,50,238.703422
178346.462764,50,238.714575
180079.141037,50,238.72648
180864.512584,50,238.737634
180525.24197,50,238.749136
180798.121691,50,238.760204
179983.126179,50,238.772164
179281.676355,50,238.783506
174902.7393,50,238.795078
174204.773829,50,238.806775
176470.694382,50,238.819097
177852.103979,50,238.830679
181218.35598,50,238.842935
173199.768361,50,238.85419
179117.782683,50,238.866716
146460.098456,50,238.87817
183672.263625,50,238.890028
174184.226076,50,238.901206
179064.837108,50,238.913429
176257.011895,50,238.924524
180923.49384,50,238.935903
180680.274518,50,238.946918
185399.30739,50,238.958892
183362.002641,50,238.969992
180754.365285,50,238.981635
179399.925461,50,238.992845
177310.752918,50,239.004805
183126.413875,50,239.015985
178419.616538,50,239.027899
180369.431907,50,239.039217
177891.297292,50,239.051559
177075.446409,50,239.063233
186977.249258,50,239.075169
161037.079451,50,239.086712
182420.093796,50,239.099249
174439.440404,50,239.11083
178747.593845,50,239.122403
147979.948833,50,239.133633
181996.494585,50,239.146078
178309.877603,50,239.157137
186909.487143,50,239.168626
180214.692722,50,239.179757
178574.517541,50,239.191737
187120.973097,50,239.202838
180790.585555,50,239.214344
186280.270568,50,239.22536
185280.889859,50,239.237443
183456.903545,50,239.248759
183932.843005,50,239.260868
181697.420424,50,239.27229
